artistName,kind,primaryGenreName,trackName
Journey,song,Rock,Send Her My Love (2024 Remaster)
Prince & The Revolution,song,Pop,Purple Rain
Michael Jackson,song,Pop,Dirty Diana
Jake Owen,song,Country,Alone with You
Flo Rida,song,Hip-Hop/Rap,Sugar (feat. Wynter)
Kid Rock,song,Hard Rock,All Summer Long
The APM Orchestra,song,Soundtrack,Clair de Lune
Shinedown,song,Hard Rock,If You Only Knew
Jet,song,Hard Rock,Are You Gonna Be My Girl
Trapt,song,Hard Rock,Headstrong
P!nk,song,Pop,"Just Like Fire (From ""Alice Through the Looking Glass"")"
Sia,song,Pop,Cheap Thrills (feat. Sean Paul)
Shakira,song,Pop Latino,"Whenever, Wherever"
Sara Evans,song,Country,A Little Bit Stronger
Kid Ink,song,Hip-Hop/Rap,Show Me (feat. Chris Brown)
Becky G,song,Pop,Shower
Fetty Wap,song,Hip-Hop/Rap,679 (feat. Monty)
Carrie Underwood,song,Country,Temporary Home
Journey,song,Rock,Only the Young (2024 Remaster)
Wiz Khalifa,song,Hip-Hop/Rap,Black and Yellow
Martin Solveig & Dragonette,song,Dance,Hello
Nickelback,song,Rock,How You Remind Me
Karmin,song,Pop,Brokenhearted
Nickelback,song,Rock,Never Gonna Be Alone
Tim McGraw,song,Country,If You're Reading This
John Mayer,song,Pop,Slow Dancing in a Burning Room
Panic! At the Disco,song,Alternative,Nine In the Afternoon
Coldplay,song,Alternative,Adventure of a Lifetime
One Direction,song,Pop,Drag Me Down
Britney Spears,song,Pop,Toxic
Kenny Chesney,song,Country,Come Over
Michael Jackson,song,Pop,Rock With You
The Temper Trap,song,Alternative,Sweet Disposition
One Direction,song,Pop,"Best Song Ever (from ""This Is Us"")"
"Ziv Zaifman, Hugh Jackman & Michelle Williams",song,Soundtrack,A Million Dreams
John Legend,song,Soundtrack,Tonight (Best You Ever Had) [feat. Ludacris]
Ram Jam,song,Rock,Black Betty
The Notorious B.I.G.,song,Hip-Hop/Rap,Juicy (2005 Remaster)
P!nk,song,Pop,Glitter In the Air
LINKIN PARK,song,Hard Rock,BURN IT DOWN
Jason Derulo,song,Pop,Talk Dirty (feat. 2 Chainz)
Ruth B.,song,Singer/Songwriter,Lost Boy
"Hank Williams, Jr.",song,Country,A Country Boy Can Survive
Daughtry,song,Rock,Life After You
Portugal. The Man,song,Alternative,Feel It Still
Lee Brice,song,Country,I Drive Your Truck
Daft Punk,song,Pop,Give Life Back to Music
J. Dash,song,Hip-Hop/Rap,Wop (Official Version)
One Direction,song,Pop,You & I
Journey,song,Rock,Send Her My Love (2024 Remaster)
Prince & The Revolution,song,Pop,Purple Rain
Michael Jackson,song,Pop,Dirty Diana
Jake Owen,song,Country,Alone with You
Flo Rida,song,Hip-Hop/Rap,Sugar (feat. Wynter)
Kid Rock,song,Hard Rock,All Summer Long
The APM Orchestra,song,Soundtrack,Clair de Lune
Shinedown,song,Hard Rock,If You Only Knew
Jet,song,Hard Rock,Are You Gonna Be My Girl
Trapt,song,Hard Rock,Headstrong
P!nk,song,Pop,"Just Like Fire (From ""Alice Through the Looking Glass"")"
Sia,song,Pop,Cheap Thrills (feat. Sean Paul)
Shakira,song,Pop Latino,"Whenever, Wherever"
Sara Evans,song,Country,A Little Bit Stronger
Kellie Pickler,song,Country,Best Days of Your Life
Pistol Annies,song,Country,Hell On Heels
Journey,song,Rock,When You Love a Woman (2024 Remaster)
Band of Horses,song,Alternative,The Funeral
Nickelback,song,Rock,Animals
Lee Brice,song,Country,Love Like Crazy
Journey,song,Rock,I'll Be Alright Without You (2024 Remaster)
George Ezra,song,Singer/Songwriter,Budapest
MGMT,song,Alternative,Time to Pretend
System Of A Down,song,Hard Rock,Chop Suey!
John Mayer,song,Rock,Half of My Heart
Cole Swindell,song,Country,Ain't Worth the Whiskey
Tim McGraw,song,Country,"My Little Girl (From ""My Friend Flicka"")"
Prince & The Revolution,song,Pop,When Doves Cry
Pentatonix,song,Christmas: Pop,"Mary, Did You Know?"
P!nk,song,Pop,True Love (feat. Lily Allen)
Skrillex,song,Dance,First of the Year (Equinox)
